model,cutoff,accept_rate,profit_per_1000
mlp,0.9,0.9999894002671132,705140.758976207
mlp,0.91,0.9999894002671132,705140.758976207
mlp,0.92,0.9999894002671132,705140.758976207
mlp,0.93,0.9999894002671132,705140.758976207
mlp,0.9400000000000001,0.9999894002671132,705140.758976207
mlp,0.9500000000000001,0.9999894002671132,705140.758976207
mlp,0.9600000000000001,0.9999894002671132,705140.758976207
mlp,0.97,0.9999894002671132,705140.758976207
mlp,0.98,0.9999894002671132,705140.758976207
mlp,0.99,0.9999894002671132,705140.758976207
